"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"upstroke-downstroke-ratio-long-square",3.99379884646174e-196,0.556007086376794,1,1,1.63745752704931e-194,"1","upstroke-downstroke-ratio-long-square"
"upstroke-downstroke-ratio-ramp",9.22234361297985e-180,0.381692625588972,1,1,3.78116088132174e-178,"1","upstroke-downstroke-ratio-ramp"
"vm-for-sag",1.52663531790997e-47,2.51863301834722,1,1,6.25920480343089e-46,"1","vm-for-sag"
"peak-v-short-square",4.59104494956809e-34,3.03845441992013,1,1,1.88232842932292e-32,"1","peak-v-short-square"
"f-i-curve-slope",1.60713055517209e-243,0.597734996503595,1,1,6.58923527620558e-242,"2","f-i-curve-slope"
"threshold-i-ramp",1.64264592014245e-201,8.35563649100141,1,1,6.73484827258405e-200,"2","threshold-i-ramp"
"threshold-t-ramp",3.49279868813369e-201,1.64963709598172,1,1,1.43204746213481e-199,"2","threshold-t-ramp"
"peak-t-ramp",3.52280281549761e-201,1.64958305029924,1,1,1.44434915435402e-199,"2","peak-t-ramp"
"fast-trough-v-long-square",1.55420665128653e-88,3.98472944158071,1,1,6.37224727027476e-87,"2","fast-trough-v-long-square"
"trough-v-long-square",4.36390573943218e-67,3.72405124147294,1,1,1.7892013531672e-65,"2","trough-v-long-square"
"threshold-v-ramp",2.28196883365109e-23,10.1684978210411,1,1,9.35607221796947e-22,"2","threshold-v-ramp"
"upstroke-downstroke-ratio-short-square",9.35905347967848e-30,28.3068679334534,1,1,3.83721192666818e-28,"3","upstroke-downstroke-ratio-short-square"
"fast-trough-v-ramp",4.56670153459326e-26,5.51967003560952,1,1,1.87234762918324e-24,"3","fast-trough-v-ramp"
"peak-v-long-square",2.2493471506716e-16,3.10352960025482,1,1,9.22232331775354e-15,"3","peak-v-long-square"
"peak-v-ramp",1.47724877475055e-08,3.06183143527311,0.999,1,6.05671997647727e-07,"3","peak-v-ramp"
"fast-trough-v-short-square",3.31265276537011e-06,2.76586102363046,1,1,0.000135818763380174,"3","fast-trough-v-short-square"
"upstroke-downstroke-ratio-long-square1",9.52375612816905e-129,0.73191999272586,1,1,3.90474001254931e-127,"4","upstroke-downstroke-ratio-long-square"
"upstroke-downstroke-ratio-ramp1",7.74719760541382e-124,0.650664139016381,1,1,3.17635101821967e-122,"4","upstroke-downstroke-ratio-ramp"
"fast-trough-t-long-square",5.83213837919154e-73,0.279186777280354,1,1,2.39117673546853e-71,"4","fast-trough-t-long-square"
"peak-t-long-square",1.82516750832681e-70,0.276120454510061,1,1,7.48318678413993e-69,"4","peak-t-long-square"
"threshold-t-long-square",2.33376856338362e-70,0.275983191327492,1,1,9.56845110987286e-69,"4","threshold-t-long-square"
"trough-t-long-square",4.68396250893157e-65,0.252461430445204,1,1,1.92042462866195e-63,"4","trough-t-long-square"
"trough-v-ramp",2.99745834675789e-08,15.3360783707142,1,1,1.22895792217074e-06,"5","trough-v-ramp"
"trough-v-short-square",7.3063239805875e-08,7.76787296624138,1,1,2.99559283204088e-06,"5","trough-v-short-square"
"rheobase-sweep-num",1.34645287592553e-06,58.272761104639,1,1,5.52045679129466e-05,"5","rheobase-sweep-num"
"threshold-v-long-square",3.78029675730639e-06,5.70609898819161,1,1,0.000154992167049562,"5","threshold-v-long-square"
"thumbnail-sweep-num",4.26292691314192e-06,45.3996874573571,1,1,0.000174780003438819,"5","thumbnail-sweep-num"
"vrest",1.56806431118876e-05,7.53401491144839,1,1,0.000642906367587392,"5","vrest"
"avg-isi",0.00049153306267697,31.799689718552,1,1,0.0201528555697558,"5","avg-isi"
